帳票,分類,決算書科目,勘定科目,補助科目,税区分,検索キー,使用,並び順
損益計算書,当期仕入高,仕入金額,仕入値引・返品,"",課仕-返還 10%,,1,1
損益計算書,期末商品（製品）棚卸高,期末商品（製品）棚卸高,期末商品棚卸高,"",対象外,,1
損益計算書,経費,租税公課,租税公課,"",対象外,,1
損益計算書,経費,荷造運賃,荷造運賃,"",課仕 10%,,1
損益計算書,経費,水道光熱費,水道光熱費,"",課仕 10%,,1
損益計算書,経費,旅費交通費,旅費交通費,"",課仕 10%,,1
損益計算書,経費,旅費交通費,旅費交通費,通勤手当,課仕 10%,,""
損益計算書,経費,通信費,通信費,"",課仕 10%,,1
損益計算書,経費,広告宣伝費,広告宣伝費,"",課仕 10%,,1
損益計算書,経費,接待交際費,接待交際費,"",課仕 10%,,1
損益計算書,経費,接待交際費,接待交際費,飲食費,課仕 10%,,""
損益計算書,経費,損害保険料,損害保険料,"",非仕,,1
損益計算書,経費,修繕費,修繕費,"",課仕 10%,,1
損益計算書,経費,消耗品費,消耗品費,"",課仕 10%,,1
損益計算書,経費,減価償却費,減価償却費,"",対象外,,1
損益計算書,経費,福利厚生費,福利厚生費,"",課仕 10%,,1,1
損益計算書,経費,福利厚生費,法定福利費,"",対象外,,1,1
損益計算書,経費,給料賃金,給料賃金,"",対象外仕,,1,1
損益計算書,経費,給料賃金,給料賃金,住宅手当,対象外仕,,"",0
損益計算書,経費,給料賃金,給料賃金,残業手当,対象外仕,,"",0
損益計算書,経費,給料賃金,退職給与,"",対象外仕,,1,1
損益計算書,経費,外注工賃,外注工賃,"",課仕 10%,,1
損益計算書,経費,利子割引料,利子割引料,"",対象外,,1
損益計算書,経費,地代家賃,地代家賃,"",課仕 10%,,1
損益計算書,経費,貸倒金,貸倒金(損失),"",課売-貸倒 10%,,1
損益計算書,経費,車両費,車両費,"",課仕 10%,,1
損益計算書,経費,リース料,リース料,"",課仕 10%,,1
損益計算書,経費,支払手数料,支払手数料,"",課仕 10%,,1
損益計算書,経費,研修採用費,研修採用費,"",課仕 10%,,1
損益計算書,経費,新聞図書費,新聞図書費,"",課仕 10%,,1
損益計算書,経費,会議費,会議費,"",課仕 10%,,1
損益計算書,経費,繰延資産償却,繰延資産償却,"",対象外,,1
損益計算書,経費,雑費,雑費,"",課仕 10%,,1
損益計算書（不動産所得）,必要経費_不動産,租税公課,租税公課(不動産),"",対象外,,1
損益計算書（不動産所得）,必要経費_不動産,損害保険料,損害保険料(不動産),"",非仕,,1
損益計算書（不動産所得）,必要経費_不動産,修繕費,修繕費(不動産),"",課仕 10%,,1
損益計算書（不動産所得）,必要経費_不動産,減価償却費,減価償却費(不動産),"",対象外,,1
損益計算書（不動産所得）,必要経費_不動産,借入金利子,借入金利子(不動産),"",対象外,,1
損益計算書（不動産所得）,必要経費_不動産,地代家賃,地代家賃(不動産),"",課仕 10%,,1
損益計算書（不動産所得）,必要経費_不動産,給料賃金,給料賃金(不動産),"",課仕 10%,,1
損益計算書（不動産所得）,必要経費_不動産,外注管理費,外注管理費(不動産),"",課仕 10%,,1
損益計算書（不動産所得）,必要経費_不動産,旅費交通費,旅費交通費(不動産),"",課仕 10%,,1
損益計算書（不動産所得）,必要経費_不動産,新聞図書費,新聞図書費(不動産),"",課仕 10%,,1
損益計算書（不動産所得）,必要経費_不動産,その他経費,その他の経費(不動産),"",課仕 10%,,1
損益計算書,繰戻額等,貸倒引当金戻入,貸倒引当金戻入,"",対象外,,1
損益計算書,繰入額等,専従者給与,専従者給与,"",対象外仕,,1
損益計算書,繰入額等,貸倒引当金繰入,貸倒引当金繰入,"",対象外,,1
損益計算書（不動産所得）,専従者給与_不動産,専従者給与,専従者給与(不動産),"",対象外仕,,1
